WardNum,WardName,Zone,Assigned Monitoring Station,UID,Dist (km)
148,HAUZ KHAS,South Zone,"Sri Auribindo Marg, Delhi",10707,2.06
149,MALVIYA NAGAR,South Zone,"Sri Auribindo Marg, Delhi",10707,1.88
150,GREEN PARK,South Zone,"R.K. Puram, Delhi",2556,2.30
151,MUNIRKA,South Zone,"R.K. Puram, Delhi",2556,0.76
152,R.K. PURAM,South Zone,"R.K. Puram, Delhi",2556,0.50
153,VASANT VIHAR,South Zone,"R.K. Puram, Delhi",2556,1.41
154,LADO SARAI,South Zone,"Sri Auribindo Marg, Delhi",10707,0.86
155,MEHRAULI,South Zone,"Sri Auribindo Marg, Delhi",10707,1.40
156,VASANT KUNJ,South Zone,"Aya Nagar, Delhi",10126,3.57
157,AYA NAGAR,South Zone,"Aya Nagar, Delhi",10126,0.98
158,BHATI,South Zone,"Aya Nagar, Delhi",10126,7.93
159,CHHATARPUR,South Zone,"Aya Nagar, Delhi",10126,3.97
160,SAID-UL-AJAIB,South Zone,"Sri Auribindo Marg, Delhi",10707,5.36
161,DEOLI,South Zone,Dr. Karni Singh Shooting Range,10110,4.39
162,TIGRI,South Zone,Dr. Karni Singh Shooting Range,10110,2.93
163,SANGAM VIHAR-A,South Zone,Dr. Karni Singh Shooting Range,10110,3.21
164,DAKSHIN PURI,South Zone,"DITE Okhla, Delhi",10116,3.08
165,MADANGIR,South Zone,"DITE Okhla, Delhi",10116,3.65
166,PUSHP VIHAR,South Zone,"Sri Auribindo Marg, Delhi",10707,3.60
167,KHANPUR,South Zone,"Sri Auribindo Marg, Delhi",10707,3.97
168,SANGAM VIHAR-C,Central Zone,Dr. Karni Singh Shooting Range,10110,2.17
169,SANGAM VIHAR-B,Central Zone,Dr. Karni Singh Shooting Range,10110,1.00
170,TUGHLAKABAD EXT.,Central Zone,Dr. Karni Singh Shooting Range,10110,1.84
171,CHITARANJAN PARK,South Zone,"DITE Okhla, Delhi",10116,2.31
172,CHIRAG DELHI,South Zone,"Sri Auribindo Marg, Delhi",10707,3.51
173,GREATER KAILASH,South Zone,"PGDAV College, Sriniwaspuri",10112,2.15
174,SRI NIWAS PURI,Central Zone,"CRRI Mathura Road, Delhi",10123,1.21
175,KALKAJI,Central Zone,"CRRI Mathura Road, Delhi",10123,1.72
176,GOVIND PURI,Central Zone,"DITE Okhla, Delhi",10116,0.68
177,HARKESH NAGAR,Central Zone,"DITE Okhla, Delhi",10116,0.79
178,TUGHLAKABAD,Central Zone,"DITE Okhla, Delhi",10116,1.68
179,PUL PEHLADPUR,Central Zone,Dr. Karni Singh Shooting Range,10110,1.87
180,BADARPUR,Central Zone,Dr. Karni Singh Shooting Range,10110,3.77
181,MOLARBAND,Central Zone,Dr. Karni Singh Shooting Range,10110,4.41
182,MEETHAPUR,Central Zone,Dr. Karni Singh Shooting Range,10110,5.41
183,HARI NAGAR EXT.,Central Zone,Dr. Karni Singh Shooting Range,10110,5.22
184,JAITPUR,Central Zone,"DITE Okhla, Delhi",10116,6.53
185,M.P. KHADAR EAST,Central Zone,"DITE Okhla, Delhi",10116,4.58
186,M.P. KHADAR WEST,Central Zone,"DITE Okhla, Delhi",10116,3.05
187,SARITA VIHAR,Central Zone,"CRRI Mathura Road, Delhi",10123,0.85
188,ABUL FAZAL ENCLAVE,Central Zone,"CRRI Mathura Road, Delhi",10123,2.27
189,ZAKIR NAGAR,Central Zone,"CRRI Mathura Road, Delhi",10123,2.26
190,NEW ASHOK NAGAR,Shahdara S.,"Mother Dairy Plant, Parparganj",10704,3.47
191,MAYUR VIHAR PH-I,Shahdara S.,"Mother Dairy Plant, Parparganj",10704,2.13
